c	d	45394	47169
c	I~	47170	49740
-----------------------------
d	O	0	1679
d	h-	1680	3043
d	b	3044	4791
d	a~	4792	8490
d	I_^a	8491	11790
d	m	11791	12990
d	I~	12991	15852
d	n	15853	17622
d	E	17623	19272
d	l=	19273	21306
d	j	21307	22844
d	(S)	22845	24863
d	w	24864	26223
d	(L)	26224	27206
d	z	27207	28998
d	l	28999	30404
d	I	30405	31737
d	U_^O	31738	35053
d	(J)	35054	36065
d	(Z)	36066	38044
d	a	38045	39544
d	l=~	39545	42923
d	U	42924	44803
d	r	44804	46886
d	U~	46887	49389
d	O~	49390	51951
d	_	51952	53399
d	r=	53400	55956
d	I_^E	55957	58154
d	r=~	58155	60784
d	v	60785	62488
d	E~	62489	64741
-----------------------------
d(Z)	E	0	2229
d(Z)	b	2230	4160
d(Z)	m	4161	6270
d(Z)	g	6271	8379
d(Z)	I	8380	10676
d(Z)	I~	10677	14051
d(Z)	U	14052	16138
d(Z)	_	16139	18527
d(Z)	U~	18528	22894
d(Z)	a	22895	24900
d(Z)	O	24901	27029
-----------------------------
dz	g	0	2074
dz	I~	2075	6319
dz	I	6320	7713
dz	(J)	7714	9867
dz	I_^E	9868	12852
dz	d	12853	14648
dz	E	14649	16655
dz	v	16656	18256
dz	O	18257	20520
dz	m	20521	22487
dz	r=	22488	24727
dz	U	24728	27103
dz	_	27104	38322
dz	a~	38323	41363
dz	a	41364	43625
dz	I_^a	43626	46162
dz	r	46163	47770
dz	h-	47771	49591
dz	b	49592	51197
dz	J-	51198	53752
dz	(Z)	53753	55671
-----------------------------
f	_	0	1365
f	I~	1366	4089
f	v	4090	6542
f	a	6543	8129
f	t	8130	9575
f	a~	9576	12458
f	I_^a	12459	14936
f	E	14937	17008
f	p	17009	18860
f	j	18861	20367
f	c	20368	22272
f	I_^E	22273	24118
f	E~	24119	26736
f	I_^	26737	28057
f	n	28058	29962
f	O~	29963	33717
f	r=~	33718	36660
f	m	36661	38415
f	O	38416	41034
f	l	41035	42324
